source,target
12370,8766445
12370,645019
12370,8762949
12370,1462053
12601,1462053
12601,645019
12601,1321221
44753,449827
44753,449358
49241,51150
49241,64091
49241,1462053
49241,449358
49241,160838
49241,376653
49241,549496
49241,1478289
49241,645019
49241,35605
49241,1022173
59275,1462053
59339,534
59339,299822
59339,59406
59339,645019
64524,1298337
64524,8762949
64524,82801
64524,1321221
64524,45567
64524,645019
64524,5906579
64524,6927614
64524,8549088
64524,3309325
64524,8769221
67348,32370
67348,67420
67348,32379
67348,573330
67348,3027510
67348,1188478
67348,31888
67348,13802
67348,8789731
67348,8789737
67348,8789758
67348,8789778
67348,14752
67348,67453
67348,413186
67348,8681333
67348,8789837
67348,1462053
67348,116563
67348,187766
67348,7237329
67348,783092
67348,45567
67348,645019
67348,8789930
67348,8765333
67348,253290
67348,407671
67348,1722031
67348,1094108
67348,404769
67348,14
67348,67539
67348,67535
67348,8767031
80438,2323548
80438,5978452
80438,731
80438,534
80438,8766445
80438,645019
80438,45567
80438,197521
80438,3623
80438,8762949
80438,8769221
80438,3377437
80438,449827
80438,3392981
81470,81481
81470,81498
81470,81564
81470,2257041
81470,81591
81470,8794748
81470,81632
81470,81642
81470,81692
81470,81847
81470,81774
81470,2127339
81470,81706
81470,81754
81470,39279
81470,81779
83707,480320
83707,1193777
83707,1462053
83707,286111
83707,8797121
83707,8797122
83707,5774869
83707,84031
83707,8797129
83707,8797130
83707,3309325
83707,1632063
83707,4986809
83707,1331460
83707,84390
83707,2094242
83707,8769974
83707,8797160
83707,8797168
83707,84753
83707,3107896
83707,8766445
83707,84916
83707,3060211
83707,83821
83707,8797192
83707,8797201
83707,85239
83707,84227
83707,84985
83707,1721978
92467,8762949
93148,645019
93148,1377436
93148,8801312
93148,46580
93148,4997
93148,710544
93148,583327
93148,30070
93148,709765
93148,718903
93148,659430
99827,2089374
99827,99849
99827,8762949
99827,645019
99878,376653
99878,645019
99878,8803298
99878,99909
99878,3390797
99878,1455288
105907,82801
105907,3309085
105907,3377437
105907,8769221
105907,645019
105907,45567
105907,3623
105907,8762949
105907,197521
105907,8805591
105907,105922
105907,5496051
105907,8805627
110462,193998
110462,8767031
110462,645019
114429,8762949
114429,645019
115283,8767031
115283,1311740
115283,8767858
115283,3623
118368,5715300
118368,2323548
118368,2604289
118368,5978452
118368,7184412
119363,645019
119363,8762949
119363,119453
119363,119481
119363,119500
119363,4408238
119363,389087
119363,784152
127955,549496
127955,376653
127955,645019
127955,45567
133403,8787485
133403,8766400
133403,8812946
133403,8812956
133403,8812440
133403,8812962
133403,449358
133403,1462053
133403,38236
133403,8767031
133403,8762949
133403,133469
133403,8777302
133649,8813176
133649,2597899
133649,133696
133649,133671
134274,14
134274,8805921
134274,645019
134274,134344
134274,8805927
134274,564
134274,45567
134274,8762949
134374,134378
134374,1488028
134374,8766445
136386,449827
136760,8762949
197511,1225250
197511,8766445
197511,174980
197511,534
197511,8762949
197511,14
198565,198569
198565,8821313
198565,8762949
198565,8549088
198565,1462053
198565,198609
201076,645019
201076,8762949
215072,8797121
215072,8766445
215072,3309325
215072,8828456
215158,2534902
215158,4667248
215158,2777805
215158,45567
215158,645019
215158,215291
215158,8828661
215158,8828664
215158,215380
215158,8828703
215158,8828706
218912,8763433
218912,645019
218912,38236
218912,1462053
221130,449827
